CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/02/2019,4:10,,,40.716114,-73.824905,"(40.716114, -73.824905)",GRAND CENTRAL PKWY              ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4124532,Flat Bed,Station Wagon/Sport Utility Vehicle,,,
05/12/2019,12:14,STATEN ISLAND,10307,40.510593,-74.24242,"(40.510593, -74.24242)",AMBOY ROAD                      ,SLEIGHT AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4131028,Station Wagon/Sport Utility Vehicle,,,,
04/29/2019,7:10,,,40.840225,-73.91769,"(40.840225, -73.91769)",JEROME AVENUE                   ,,,0,0,0,0,0,0,0,0,Turning Improperly,Following Too Closely,,,,4124680,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/11/2019,20:25,BROOKLYN,11222,40.729755,-73.954056,"(40.729755, -73.954056)",,,880       MANHATTAN AVENUE              ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4130435,Sedan,Van,,,
04/29/2019,6:10,QUEENS,11106,40.758865,-73.938324,"(40.758865, -73.938324)",37 AVENUE                       ,14 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4122445,Taxi,Station Wagon/Sport Utility Vehicle,,,
04/22/2019,16:40,BROOKLYN,11233,40.676647,-73.91647,"(40.676647, -73.91647)",ATLANTIC AVENUE                 ,SARATOGA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4119157,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/01/2019,3:15,BROOKLYN,11232,40.647316,-74.00083,"(40.647316, -74.00083)",,,4121      7 AVENUE                      ,0,0,0,0,0,0,0,0,Unspecified,,,,,4123556,Station Wagon/Sport Utility Vehicle,,,,
05/09/2019,3:35,,,40.86268,-73.90905,"(40.86268, -73.90905)",WEST FORDHAM ROAD               ,,,2,0,0,0,0,0,2,0,Passing or Lane Usage Improper,Other Vehicular,Other Vehicular,,,4128550,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
06/12/2017,9:15,,,40.88867,-73.89092,"(40.88867, -73.89092)",MAJOR DEEGAN EXPRESSWAY         ,,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,3689947,Sedan,Sedan,,,
05/13/2019,14:20,QUEENS,11101,40.75114,-73.9345,"(40.75114, -73.9345)",,,30-30     NORTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4132044,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
04/29/2019,11:45,MANHATTAN,10016,40.743893,-73.9717,"(40.743893, -73.9717)",FDR DRIVE                       ,EAST 35 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4122980,Sedan,Taxi,,,
05/11/2019,12:30,,,40.787685,-73.97502,"(40.787685, -73.97502)",WEST 86 STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,4130687,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/05/2019,19:00,STATEN ISLAND,10305,40.616035,-74.073944,"(40.616035, -74.073944)",LYNHURST AVENUE                 ,TOMPKINS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4127047,Sedan,,,,
05/02/2019,12:45,BROOKLYN,11212,40.6557,-73.91546,"(40.6557, -73.91546)",EAST 96 STREET                  ,CHURCH AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4124899,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/05/2019,11:16,,,40.744453,-73.92983,"(40.744453, -73.92983)",35 STREET                       ,,,0,0,0,0,0,0,0,0,Driverless/Runaway Vehicle,,,,,4125824,Pick-up Truck,,,,
05/12/2019,14:30,,,40.82773,-73.94952,"(40.82773, -73.94952)",WEST 147 STREET                 ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4131296,Sedan,Sedan,,,
